"","agent_cond","interact_cond","willing_friend","willing_romantic","wtp","true","talk_listen","not_judge","emotion","understand","body","comp1","comp2","belief","worker_id","explain","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","agent_cond_n","interact_cond_n","wtp_logged"
"1410","human","yes",94,31,1,36,81,71,77,88,19,1,2,"1",14,"Refreshing and friendly.","71","60","36","2","","1","","1","","26","4","","33",1,1,1.69314718055995
"1610","human","yes",100,30,5,0,100,0,0,0,100,1,2,"1",16,"She responded to everything I said accurately ","0","0","0","2","","1","","3","","25","1","","100",1,1,2.79175946922805
"2010","human","yes",90,86,8,20,88,90,20,20,100,1,2,"1",20,"I thought this way because the person seem to be responsive to my question and most of their replies seem to be spontaneous and relevant to our conversation. It was also mentioned in the study that I would be interacting with a human.","22","21","20","2","","2","","4","","35","4","","90",1,1,3.19722457733622
"2110","human","yes",99,27,5,95,91,87,100,90,91,1,2,"1",21,"its real human ,friendly ,easy to intract","100","86","86","2","","2","","3","","35","5","","100",1,1,2.79175946922805
"241","human","yes",100,91,10,0,100,100,100,100,98,1,2,"1",24,"The real-time solutions and quick response time that a chatbot integrates are better. Even with high volume of customer queries, chatbots can offer the required solutions in no time. Being available at all times is a definite strength of chatbots over humans","100","100","100","2","","1","","3","","60","3","","100",1,1,3.39789527279837
"271","human","yes",50,15,0,55,36,24,21,20,97,1,2,"1",27,"The conversation didn't seem too stilted as I would expect with a chatbot.","74","73","53","2","","2","","3","","44","4","","12",1,1,1
"281","human","yes",87,67,5,51,68,69,72,65,50,1,2,"1",28,"It is very excellent.","77","71","71","2","","2","","1","","40","5","","84",1,1,2.79175946922805
"291","human","yes",100,100,5,64,86,86,85,90,92,1,2,"1",29,"I felt I am talking with a human.","92","10","9","2","","2","","3","","46","4","","87",1,1,2.79175946922805
"401","human","yes",72,20,8,24,91,31,25,10,100,1,2,"1",40,"They just knew everything I was talking about. They had fast responses to what I said.","0","0","0","2","","1","","3","","52","3","","79",1,1,3.19722457733622
"431","human","yes",45,30,3,65,65,50,20,8,87,1,2,"1",43,"The responses were very on point to the subject, and I was even asked questions","1","9","1","2","","2","","3","","37","4","","65",1,1,2.38629436111989
"441","human","yes",94,75,5,5,93,64,1,0,22,1,2,"1",44,"They responded with thought out answers and made me feel like they cared about what we were talking and about what I was saying. They always had answer and kept the conversation going and there was no awkward silence.","40","74","39","2","","2","","3","","35","4","","88",1,1,2.79175946922805
